test_id,output_a,output_b
1,deterministic,tool_calling
2,tool_calling,deterministic
3,tool_calling,deterministic
4,tool_calling,deterministic
5,deterministic,tool_calling
6,tool_calling,deterministic
7,tool_calling,deterministic
8,deterministic,tool_calling
9,tool_calling,deterministic
10,tool_calling,deterministic
11,tool_calling,deterministic
12,deterministic,tool_calling
13,deterministic,tool_calling
14,tool_calling,deterministic
15,tool_calling,deterministic
16,deterministic,tool_calling
17,tool_calling,deterministic
18,deterministic,tool_calling
