test_id,query,output_a_sql,output_b_sql
1,Show me all products,"SELECT TOP 100
    ProductKey,
    EnglishProductName,
    Color,
    ListPrice,
    ProductLine,
    Class
FROM dbo.DimProduct
WHERE FinishedGoodsFlag = 1
ORDER BY EnglishProductName","SELECT TOP 100
    ProductKey,
    EnglishProductName,
    Color,
    ListPrice,
    ProductLine,
    Class
FROM dbo.DimProduct
WHERE FinishedGoodsFlag = 1
ORDER BY EnglishProductName"
2,List all customers with their email addresses,"SELECT TOP 100
    c.CustomerKey,
    c.FirstName + ' ' + c.LastName AS CustomerName,
    g.City,
    g.StateProvinceName,
    g.EnglishCountryRegionName
FROM dbo.DimCustomer c
INNER JOIN dbo.DimGeography g ON c.GeographyKey = g.GeographyKey
ORDER BY c.LastName, c.FirstName","SELECT TOP 100
    c.CustomerKey,
    c.FirstName + ' ' + c.LastName AS CustomerName,
    g.City,
    g.StateProvinceName,
    g.EnglishCountryRegionName
FROM dbo.DimCustomer c
INNER JOIN dbo.DimGeography g ON c.GeographyKey = g.GeographyKey
ORDER BY c.LastName, c.FirstName"
3,Show me products that are red in color,"SELECT
    ProductKey,
    EnglishProductName,
    Color,
    ListPrice,
    StandardCost
FROM dbo.DimProduct
WHERE Color = 'Red'
    AND FinishedGoodsFlag = 1
ORDER BY ListPrice DESC","SELECT
    ProductKey,
    EnglishProductName,
    Color,
    ListPrice,
    StandardCost
FROM dbo.DimProduct
WHERE Color = 'Red'
    AND FinishedGoodsFlag = 1
ORDER BY ListPrice DESC"
4,What is the total sales amount?,"SELECT
    SUM(SalesAmount) AS TotalRevenue,
    SUM(OrderQuantity) AS TotalUnitsSold,
    COUNT(DISTINCT SalesOrderNumber) AS TotalOrders
FROM dbo.FactInternetSales","SELECT
    SUM(SalesAmount) AS TotalRevenue,
    SUM(OrderQuantity) AS TotalUnitsSold,
    COUNT(DISTINCT SalesOrderNumber) AS TotalOrders
FROM dbo.FactInternetSales"
5,How many customers do we have?,"SELECT
    COUNT(*) AS TotalCustomers,
    COUNT(DISTINCT GeographyKey) AS UniqueLocations
FROM dbo.DimCustomer","SELECT
    COUNT(*) AS TotalCustomers,
    COUNT(DISTINCT GeographyKey) AS UniqueLocations
FROM dbo.DimCustomer"
6,What is the average order quantity for internet sales?,"SELECT
    AVG(OrderQuantity) AS AvgOrderQuantity,
    AVG(SalesAmount) AS AvgOrderValue,
    AVG(SalesAmount / NULLIF(OrderQuantity, 0)) AS AvgPricePerUnit
FROM dbo.FactInternetSales","SELECT
    AVG(OrderQuantity) AS AvgOrderQuantity,
    AVG(SalesAmount) AS AvgOrderValue,
    AVG(SalesAmount / NULLIF(OrderQuantity, 0)) AS AvgPricePerUnit
FROM dbo.FactInternetSales"
7,Show me all sales with product names,"SELECT TOP 100
    fis.SalesOrderNumber,
    fis.SalesOrderLineNumber,
    p.EnglishProductName,
    fis.OrderQuantity,
    fis.UnitPrice,
    fis.SalesAmount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimProduct p ON fis.ProductKey = p.ProductKey
ORDER BY fis.SalesOrderNumber, fis.SalesOrderLineNumber","SELECT TOP 100
    fis.SalesOrderNumber,
    fis.SalesOrderLineNumber,
    p.EnglishProductName,
    fis.OrderQuantity,
    fis.UnitPrice,
    fis.SalesAmount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimProduct p ON fis.ProductKey = p.ProductKey
ORDER BY fis.SalesOrderNumber, fis.SalesOrderLineNumber"
8,List all orders with customer names and product names,"SELECT TOP 100
    fis.SalesOrderNumber,
    c.FirstName + ' ' + c.LastName AS CustomerName,
    p.EnglishProductName,
    fis.OrderQuantity,
    fis.SalesAmount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimCustomer c ON fis.CustomerKey = c.CustomerKey
INNER JOIN dbo.DimProduct p ON fis.ProductKey = p.ProductKey
ORDER BY fis.SalesOrderNumber","SELECT TOP 100
    fis.SalesOrderNumber,
    c.FirstName + ' ' + c.LastName AS CustomerName,
    p.EnglishProductName,
    fis.OrderQuantity,
    fis.SalesAmount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimCustomer c ON fis.CustomerKey = c.CustomerKey
INNER JOIN dbo.DimProduct p ON fis.ProductKey = p.ProductKey
ORDER BY fis.SalesOrderNumber"
9,Show me sales by product category,"SELECT
    pc.EnglishProductCategoryName AS Category,
    SUM(fis.SalesAmount) AS TotalRevenue,
    SUM(fis.OrderQuantity) AS TotalUnitsSold,
    COUNT(DISTINCT fis.SalesOrderNumber) AS OrderCount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimProduct p ON fis.ProductKey = p.ProductKey
INNER JOIN dbo.DimProductSubcategory ps ON p.ProductSubcategoryKey = ps.ProductSubcategoryKey
INNER JOIN dbo.DimProductCategory pc ON ps.ProductCategoryKey = pc.ProductCategoryKey
GROUP BY pc.EnglishProductCategoryName
ORDER BY TotalRevenue DESC","SELECT
    pc.EnglishProductCategoryName AS Category,
    SUM(fis.SalesAmount) AS TotalRevenue,
    SUM(fis.OrderQuantity) AS TotalUnitsSold,
    COUNT(DISTINCT fis.SalesOrderNumber) AS OrderCount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimProduct p ON fis.ProductKey = p.ProductKey
INNER JOIN dbo.DimProductSubcategory ps ON p.ProductSubcategoryKey = ps.ProductSubcategoryKey
INNER JOIN dbo.DimProductCategory pc ON ps.ProductCategoryKey = pc.ProductCategoryKey
GROUP BY pc.EnglishProductCategoryName
ORDER BY TotalRevenue DESC"
10,Show me sales from the year 2023,"SELECT
    d.CalendarYear,
    d.MonthNumberOfYear,
    d.EnglishMonthName,
    SUM(fis.SalesAmount) AS MonthlyRevenue,
    COUNT(DISTINCT fis.SalesOrderNumber) AS OrderCount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimDate d ON fis.OrderDateKey = d.DateKey
WHERE d.CalendarYear = 2023
GROUP BY d.CalendarYear, d.MonthNumberOfYear, d.EnglishMonthName
ORDER BY d.MonthNumberOfYear;","SELECT
    d.CalendarYear,
    d.MonthNumberOfYear,
    d.EnglishMonthName,
    SUM(fis.SalesAmount) AS MonthlyRevenue,
    COUNT(DISTINCT fis.SalesOrderNumber) AS OrderCount
FROM dbo.FactInternetSales fis
INNER JOIN dbo.DimDate d ON fis.OrderDateKey = d.DateKey
WHERE d.CalendarYear = 2023
GROUP BY d.CalendarYear, d.MonthNumberOfYear, d.EnglishMonthName
ORDER BY d.MonthNumberOfYear;"
